LSOA_code,Region,LA_Code,LA_Name,SS_pop,SSPTt,SSPT15n,SSPT30n,SSPT45n,SSPT60n,SSPT15pct,SSPT30pct,SSPT45pct,SSPT60pct,SSCyct,SSCyc15n,SSCyc30n,SSCyc45n,SSCyc60n,SSCyc15pct,SSCyc30pct,SSCyc45pct,SSCyc60pct,SSCart,SSCar15n,SSCar30n,SSCar45n,SSCar60n,SSCar15pct,SSCar30pct,SSCar45pct,SSCar60pct
E01027673,Yorkshire and The Humber,E07000165,Harrogate,88,9,1,3,6,10,100,100,100,100,9,1,4,6,8,100,100,100,100,8,2,9,10,10,100,100,100,100
E01027674,Yorkshire and The Humber,E07000165,Harrogate,101,20,0,3,4,7,8,100,100,100,16,0,2,6,7,24,100,100,100,13,1,10,10,10,100,100,100,100
E01027675,Yorkshire and The Humber,E07000165,Harrogate,162,19,0,3,4,9,0,100,100,100,13,1,4,7,8,100,100,100,100,11,1,10,10,10,100,100,100,100
E01027676,Yorkshire and The Humber,E07000165,Harrogate,130,18,0,3,4,10,0,100,100,100,12,1,4,6,8,100,100,100,100,10,1,9,10,10,100,100,100,100
E01027677,Yorkshire and The Humber,E07000165,Harrogate,47,19,0,5,8,10,28,100,100,100,14,3,5,6,6,100,100,100,100,11,4,7,10,10,100,100,100,100
E01027678,Yorkshire and The Humber,E07000165,Harrogate,45,14,1,6,9,10,67,100,100,100,12,4,6,6,6,100,100,100,100,9,5,7,10,10,100,100,100,100
E01027679,Yorkshire and The Humber,E07000165,Harrogate,68,11,2,4,6,10,96,100,100,100,9,3,5,6,6,100,100,100,100,8,5,7,10,10,100,100,100,100
E01027680,Yorkshire and The Humber,E07000165,Harrogate,62,15,1,5,7,10,47,100,100,100,10,3,5,6,6,100,100,100,100,9,5,7,10,10,100,100,100,100
E01027681,Yorkshire and The Humber,E07000165,Harrogate,107,87,0,0,0,0,0,27,27,27,40,0,0,1,3,0,0,66,100,20,0,8,10,10,12,100,100,100
E01027682,Yorkshire and The Humber,E07000165,Harrogate,73,60,0,0,0,2,0,0,23,23,45,0,0,1,6,0,0,40,100,21,0,9,10,10,0,100,100,100
E01027683,Yorkshire and The Humber,E07000165,Harrogate,105,38,0,0,3,6,0,0,100,100,42,0,0,1,4,0,0,100,100,18,0,10,10,10,0,100,100,100
E01027684,Yorkshire and The Humber,E07000165,Harrogate,77,40,0,0,3,6,0,45,78,87,34,0,0,2,6,0,32,100,100,15,1,10,10,10,45,100,100,100
E01027685,Yorkshire and The Humber,E07000165,Harrogate,45,55,0,0,0,2,0,0,0,100,47,0,0,0,1,0,0,0,100,19,0,4,10,10,0,100,100,100
E01027686,Yorkshire and The Humber,E07000165,Harrogate,58,90,0,0,0,0,0,0,0,24,52,0,0,1,1,0,0,55,88,23,0,3,10,10,0,100,100,100
E01027687,Yorkshire and The Humber,E07000165,Harrogate,109,28,0,1,2,4,0,60,90,90,17,0,1,1,4,24,100,100,100,11,1,10,10,10,100,100,100,100
E01027688,Yorkshire and The Humber,E07000165,Harrogate,86,30,0,0,2,3,0,48,100,100,22,0,1,2,3,0,87,100,100,13,1,8,10,10,87,100,100,100
E01027689,Yorkshire and The Humber,E07000165,Harrogate,64,27,0,3,7,10,0,81,100,100,15,1,5,6,6,63,100,100,100,12,4,7,10,10,100,100,100,100
E01027690,Yorkshire and The Humber,E07000165,Harrogate,67,27,0,2,6,9,0,100,100,100,16,0,5,6,6,0,100,100,100,12,4,8,10,10,100,100,100,100
E01027691,Yorkshire and The Humber,E07000165,Harrogate,76,33,0,0,6,9,0,24,100,100,18,0,5,6,6,0,100,100,100,13,3,9,10,10,100,100,100,100
E01027692,Yorkshire and The Humber,E07000165,Harrogate,73,22,0,5,6,10,0,100,100,100,13,2,6,6,6,100,100,100,100,11,4,7,10,10,100,100,100,100
E01027693,Yorkshire and The Humber,E07000165,Harrogate,85,42,0,1,1,1,22,59,59,84,28,0,0,1,1,22,44,100,100,16,0,4,10,10,44,100,100,100
E01027694,Yorkshire and The Humber,E07000165,Harrogate,68,45,0,0,1,3,0,0,81,81,51,0,0,0,3,0,0,0,100,22,0,7,10,10,0,100,100,100
E01027695,Yorkshire and The Humber,E07000165,Harrogate,108,38,0,0,2,7,0,0,100,100,41,0,0,1,3,0,0,80,100,16,0,10,10,10,15,100,100,100
E01027696,Yorkshire and The Humber,E07000165,Harrogate,253,63,0,0,0,1,0,0,15,15,48,0,0,0,2,0,0,4,100,18,0,10,10,10,0,100,100,100
E01027697,Yorkshire and The Humber,E07000165,Harrogate,104,19,0,3,8,10,17,100,100,100,11,2,5,6,7,100,100,100,100,10,4,9,10,10,100,100,100,100
E01027698,Yorkshire and The Humber,E07000165,Harrogate,91,21,0,4,7,10,13,100,100,100,12,3,5,6,7,100,100,100,100,11,4,9,10,10,100,100,100,100
E01027699,Yorkshire and The Humber,E07000165,Harrogate,74,29,0,1,6,10,0,72,100,100,16,0,5,6,7,16,100,100,100,11,3,10,10,10,100,100,100,100
E01027700,Yorkshire and The Humber,E07000165,Harrogate,81,30,0,1,7,10,0,53,100,100,18,0,5,6,7,0,100,100,100,14,2,10,10,10,47,100,100,100
E01027701,Yorkshire and The Humber,E07000165,Harrogate,83,53,0,0,1,1,0,37,58,76,27,0,1,1,1,0,76,92,100,15,1,3,8,10,76,100,100,100
E01027702,Yorkshire and The Humber,E07000165,Harrogate,62,17,0,1,1,1,34,100,100,100,12,1,1,1,1,100,100,100,100,9,1,4,10,10,100,100,100,100
E01027703,Yorkshire and The Humber,E07000165,Harrogate,94,36,0,1,1,4,0,50,72,91,33,0,1,2,6,0,50,78,100,15,1,10,10,10,59,100,100,100
E01027704,Yorkshire and The Humber,E07000165,Harrogate,58,23,0,1,5,6,33,91,100,100,23,0,2,6,8,0,100,100,100,13,2,10,10,10,91,100,100,100
E01027705,Yorkshire and The Humber,E07000165,Harrogate,105,20,0,2,2,3,0,100,100,100,14,1,2,2,3,80,100,100,100,12,2,6,10,10,100,100,100,100
E01027706,Yorkshire and The Humber,E07000165,Harrogate,90,17,0,2,3,4,11,100,100,100,12,2,2,2,3,100,100,100,100,10,2,8,10,10,100,100,100,100
E01027707,Yorkshire and The Humber,E07000165,Harrogate,107,23,0,2,3,3,0,100,100,100,15,1,2,2,3,41,100,100,100,11,2,9,10,10,100,100,100,100
E01027708,Yorkshire and The Humber,E07000165,Harrogate,65,28,0,1,2,4,0,78,100,100,17,0,2,2,3,0,100,100,100,13,2,7,10,10,100,100,100,100
E01027709,Yorkshire and The Humber,E07000165,Harrogate,63,27,0,1,2,4,0,57,100,100,15,0,2,2,3,21,100,100,100,12,2,5,10,10,100,100,100,100
E01027710,Yorkshire and The Humber,E07000165,Harrogate,68,25,0,2,2,5,0,100,100,100,15,0,2,2,3,24,100,100,100,12,2,7,10,10,100,100,100,100
E01027711,Yorkshire and The Humber,E07000165,Harrogate,82,21,0,2,2,4,0,100,100,100,15,1,2,2,3,56,100,100,100,11,2,9,10,10,100,100,100,100
E01027712,Yorkshire and The Humber,E07000165,Harrogate,88,13,2,2,2,2,100,100,100,100,10,2,2,2,3,100,100,100,100,9,2,4,10,10,100,100,100,100
E01027713,Yorkshire and The Humber,E07000165,Harrogate,94,16,0,2,2,3,20,100,100,100,11,2,2,2,3,100,100,100,100,9,2,6,10,10,100,100,100,100
E01027714,Yorkshire and The Humber,E07000165,Harrogate,113,19,0,2,3,3,27,100,100,100,13,2,2,2,3,100,100,100,100,11,2,5,10,10,100,100,100,100
E01027715,Yorkshire and The Humber,E07000165,Harrogate,89,6,2,2,2,3,100,100,100,100,8,2,2,2,3,100,100,100,100,7,2,5,10,10,100,100,100,100
